Ticker,Tahun,ROE,ROA,NPM,DER,DAR,PER,PBV,PS_Ratio,Label
AADI,2024,40.37485857271905,20.20469047290868,22.76114927827036,0.4955765314577955,0.2480001361666225,50484.96967784882,20383.23510791156,11490.959311464698,0
AALI,2024,5.068241126922199,3.9854757499377023,5.260349112435529,0.1408686755247501,0.1107738712839565,9.885195797061458,0.5010055588634533,0.5199958093732366,0
AALI,2023,4.796033983397109,3.660431620159339,5.089770669485338,0.1819151441596344,0.1388413735542614,11.96809892398357,0.5739940915608358,0.6091487887279061,0
AALI,2022,7.962571729609206,5.903063111851413,7.909841730050281,0.1869470615642281,0.1385934520231909,7.904339395983912,0.6293886941569781,0.6252207360283399,0
AALI,2021,9.560825661839708,6.484773341075463,8.105259063710424,0.2762671301571855,0.1873823228269192,7.853457531662215,0.7508553830288444,0.6365430783997006,0
ABMM,2024,16.56380978145607,6.651001286165712,11.612760952800633,1.1603579310501937,0.4659279594280031,67442.45775082184,11171.040413785002,7831.931399296501,0
ABMM,2023,38.07543459734402,13.400203046069398,19.35705146983716,1.3704185296272284,0.4823027432070786,28986.8099820313,11036.853876564715,5610.991727685694,0
ABMM,2022,49.04218591419365,13.614084753112463,18.672073003590327,1.7056787269231568,0.4734955083474815,25366.562991878287,12440.316982517994,4736.463160345241,0
ABMM,2021,42.81450733411428,14.276384030595946,14.483693868298756,1.1143458770149828,0.3715756801550557,18599.61859712496,7963.3350683833505,2693.911818278743,0
ACES,2024,13.774767887242117,10.889989513926263,10.393741007367357,0.1420907946788213,0.1123334546719259,13.560636611598948,1.867946217280129,1.409457448359831,1
ACES,2023,12.527125132386146,9.88393916218581,10.110074680748136,0.1423615130408662,0.1123236591845733,14.665015514562386,1.8371048441930724,1.482644020465558,1
ACES,2022,11.26699015276288,9.064912013841008,9.82348339561783,0.1201742658368427,0.0966867931336377,11.020277166816442,1.2416535431923847,1.0825750976332762,1
ACES,2021,12.454030152133171,9.632648054519942,10.556812485025857,0.1504276060452457,0.1163491792630384,28.233451907236827,3.516202613515293,2.980552575896948,1
ADMR,2024,30.93974390919861,21.05796571513997,37.83256068139998,0.2108842304858592,0.1435303701435815,100837.09192656772,31198.738007563243,38149.25399247782,0
ADMR,2023,45.17134117552939,26.012551219650398,40.61117498428381,0.4340259046336711,0.2499399128103517,124136.1761157834,56073.97563551655,50413.15970117952,0
ADMR,2022,62.1530587366592,25.82031041958089,36.58133762920168,0.915790896902682,0.3804479734077308,192359.0729859673,119557.04761826136,70367.52194939918,0
ADMR,2021,76.71775837662335,16.061958417267263,33.707213827507346,3.1398273587114,0.6573677013011848,45720.57848436448,35075.80293002919,15411.133152898055,0
ADRO,2024,28.01001287636578,20.59067218511377,66.38862282910046,0.1176906733218912,0.086516564069884,49675.20315661542,13914.03080052884,32978.683263234816,0
ADRO,2023,24.23620897183147,15.67346793012812,76.86746164206252,0.2125095826398593,0.1374291718734528,23858.435551320446,5782.380297627755,18339.373795807453,0
ADRO,2022,41.38166849251402,23.12195340013969,30.769652296807404,0.2626971085217275,0.1467816674112506,17595.666247260993,7281.380275490727,5414.125323588907,0
ADRO,2021,22.565667016375052,12.30393929776131,23.379863040665533,0.3885468891263253,0.2118553524110392,29471.13639532393,6650.358504910516,6890.311325754468,0
AKRA,2024,19.2442025869545,6.720647520354531,5.745280367804104,0.4598568773451996,0.1605956894541862,9.23475436791594,1.7771548389693732,0.5305625297148064,1
AKRA,2023,24.68651585680253,9.177109307295863,6.606202991836888,0.4109846919789903,0.1527818451090664,9.729247629348718,2.401812258766755,0.6427338479732545,1
AKRA,2022,21.91052032995515,8.839817338169896,5.055396647498811,0.275011488344653,0.1109536097844896,8.2604671515646,1.8099113345928288,0.4175993794479373,1
AKRA,2021,11.895128384334958,4.728542999070014,4.324155310448481,0.3271789973883802,0.130059962999724,11.213027643956543,1.3338040340196002,0.4848687303282031,1
AMMN,2024,12.343304310480825,5.7267067140656,23.91079091315235,0.8305440360383128,0.3853329698328137,967828.0565493528,119461.96222209906,231415.34300034164,0
AMMN,2023,5.541664130019348,2.771710794693622,12.400331470247592,0.7066801993596,0.3534521564291205,1847870.853321118,102402.79624757882,229142.11095391135,0
AMRT,2024,19.221942016918884,8.114016197891964,2.662764152472035,0.1143977465908773,0.0482898745622948,37.1029587927229,7.131909225698504,0.9879642862390964,0
AMRT,2023,23.516590297986745,9.938792302780138,3.1826332123496037,0.128585561859598,0.0543439833864112,34.21391574125373,8.045946389769034,1.08890344562645,0
AMRT,2022,25.444701064302567,9.286604103405596,2.945879030240036,0.2724124800483927,0.099422934804506,38.595577078202936,9.82052921159122,1.1369790117469103,0
AMRT,2021,20.88053082952956,7.036387371525466,2.268287916297668,0.332563616059328,0.1120683399944684,24.69856375144942,5.157191218572409,0.5602345370732031,0
ANTM,2024,11.593861335548002,8.19180890982555,5.271110543290567,0.0089834695424992,0.0063473991718147,9.539986867869017,1.1060528488902228,0.5028632536207793,1
ANTM,2023,10.04348926409273,7.182148306298738,7.497731967543218,0.0984371897251575,0.0703929159349993,11.562906295807531,1.1613192524365317,0.8669557217178286,1
ANTM,2022,16.11402695246462,11.35931925036368,8.319040679763075,0.1485964326228659,0.1047506202271878,10.88278229744362,1.7536544725881127,0.905343086414389,1
ANTM,2021,8.93475957283842,5.656016191928134,4.842539177765359,0.3063661031200149,0.1939404889161717,24.67091921902602,2.204287316629161,1.1946989286961784,0
ARNA,2024,23.104894373567003,16.005767490459196,16.182427481651875,0.0578030855247732,0.0400427170183949,10.752410998452849,2.484333203804331,1.7400011123537924,1
